ObjectID,Total_TravelTime,Total_Kilometers,Origin_School,Dest_School,,,
590,10.73484336,12.47316932,522,181,703,,
591,12.87190412,14.12869185,522,509,1031,,
592,13.89153185,14.24764967,522,301,823,,
593,17.10227909,17.19295084,522,438,960,,
594,17.14102211,18.50846728,522,533,1055,,
595,17.32070484,18.29854217,522,275,797,,
596,18.74573286,19.53682026,522,490,1012,,
597,19.85009843,20.72684293,522,423,945,,
598,19.94623853,20.65307317,522,477,999,,
599,19.94623853,20.65307317,522,801,1323,,
600,20.30305512,21.25425381,522,192,714,,
601,20.64100395,20.83536473,522,213,735,,
602,21.28282516,22.00016647,522,248,770,,
603,22.14287864,22.45208629,522,464,986,,
604,22.46558676,22.64348537,522,436,958,,
605,22.73470376,22.59696173,522,451,973,,
606,24.16997712,30.50432256,522,457,979,,
607,24.16997712,30.50432256,522,750,1272,,
608,24.45217578,26.15975518,522,455,977,,
609,24.9935526,23.21757501,522,499,1021,,
610,25.02730229,24.03702543,522,168,690,,
611,25.61791021,32.47378862,522,328,850,,
612,25.71460892,27.44640176,522,605,1127,,
613,25.739607,26.89523059,522,488,1010,,
614,26.36021162,27.2989074,522,383,905,,
615,26.79678334,33.95790741,522,412,934,,
616,27.63302205,44.36312177,522,461,983,,
617,27.81880231,25.47634304,522,891,1413,,
618,28.15208164,25.51234341,522,214,736,,
